companylist (4)
Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,
YCBD,"cbdMD, Inc.",2.67,$139.12M,2017,Consumer Non-Durables,Package Goods/Cosmetics,https://old.nasdaq.com/symbol/ycbd,
YCBD^A,"cbdMD, Inc.",8.6713,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ycbd^a,
CVM,Cel-Sci Corporation,12.94,$499.8M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/cvm,
CET,Central Securities Corporation,30.88,$796.31M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/cet,
LEU,Centrus Energy Corp.,12.55,$151.1M,2014,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://old.nasdaq.com/symbol/leu,
CHAQ,Chardan Healthcare Acquisition 2 Corp.,9.9,$106.71M,2020,Finance,Business Services,https://old.nasdaq.com/symbol/chaq,
CHAQ.U,Chardan Healthcare Acquisition 2 Corp.,n/a,n/a,2020,n/a,n/a,https://old.nasdaq.com/symbol/chaq.u,
CHAQ.WS,Chardan Healthcare Acquisition 2 Corp.,n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/chaq.ws,
CCF,Chase Corporation,106.37,$1B,n/a,Consumer Durables,Building Products,https://old.nasdaq.com/symbol/ccf,
CQP,"Cheniere Energy Partners, LP",39.05,$18.9B,2007,Public Utilities,Oil/Gas Transmission,https://old.nasdaq.com/symbol/cqp,
LNG,"Cheniere Energy, Inc.",58.78,$14.83B,n/a,Public Utilities,Oil/Gas Transmission,https://old.nasdaq.com/symbol/lng,
CVR,Chicago Rivet & Machine Co.,21.2435,$20.52M,n/a,Technology,Industrial Machinery/Components,https://old.nasdaq.com/symbol/cvr,
CPHI,"China Pharma Holdings, Inc.",0.4723,$20.58M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/cphi,
CKX,"CKX Lands, Inc.",9.25,$17.97M,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/ckx,
GLV,Clough Global Dividend and Income Fund,9.82,$82.56M,2004,n/a,n/a,https://old.nasdaq.com/symbol/glv,
GLQ,Clough Global Equity Fund,12.62,$166.97M,2005,n/a,n/a,https://old.nasdaq.com/symbol/glq,
GLO,Clough Global Opportunities Fund,10.3,$331.91M,2006,n/a,n/a,https://old.nasdaq.com/symbol/glo,
COHN,Cohen & Company Inc.,17.09,$23.51M,n/a,Finance,Investment Bankers/Brokers/Service,https://old.nasdaq.com/symbol/cohn,
CIX,CompX International Inc.,13.97,$173.94M,1998,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/cix,
LODE,"Comstock Mining, Inc.",1.02,$35.13M,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/lode,
CDOR,"Condor Hospitality Trust, Inc.",3.2216,$38.71M,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/cdor,
CHFW.U,Consonance-HFW Acquisition Corp.,n/a,n/a,2020,n/a,n/a,https://old.nasdaq.com/symbol/chfw.u,
MCF,Contango Oil & Gas Company,1.65,$263.16M,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/mcf,
CMT,Core Molding Technologies Inc,11.46,$91.36M,n/a,Consumer Non-Durables,Plastic Products,https://old.nasdaq.com/symbol/cmt,
CRMD,CorMedix Inc.,8.96,$287.91M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/crmd,
CRF,"Cornerstone Strategic Return Fund, Inc. (The)",11,$442.6M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/crf,
CLM,"Cornerstone Strategic Value Fund, Inc.",11.22,$854.08M,1987,n/a,n/a,https://old.nasdaq.com/symbol/clm,
CVU,"CPI Aerostructures, Inc.",3.33,$39.8M,n/a,Capital Goods,Military/Government/Technical,https://old.nasdaq.com/symbol/cvu,
CIK,"Credit Suisse Asset Management Income Fund, Inc.",3.18,$166.33M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/cik,
DHY,Credit Suisse High Yield Bond Fund,2.3,$238.07M,1998,n/a,n/a,https://old.nasdaq.com/symbol/dhy,
CRHM,CRH Medical Corporation,2.91,$207.81M,2015,Health Care,Medical/Nursing Services,https://old.nasdaq.com/symbol/crhm,
CTO,"CTO Realty Growth, Inc.",40.35,$190.32M,n/a,Finance,Real Estate,https://old.nasdaq.com/symbol/cto,
CTEK,"CynergisTek, Inc.",1.55,$16.51M,2017,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/ctek,
DXR,Daxor Corporation,12.955,$52M,n/a,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/dxr,
VCF,"Delaware Investments Colorado Municipal Income Fund, Inc",14,$67.72M,1993,n/a,n/a,https://old.nasdaq.com/symbol/vcf,
VFL,Delaware Investments Florida Insured Municipal Income Fund,12.81,$58.01M,1993,n/a,n/a,https://old.nasdaq.com/symbol/vfl,
VMM,"Delaware Investments Minnesota Municipal Income Fund II, Inc.",13.06,$150.25M,1993,n/a,n/a,https://old.nasdaq.com/symbol/vmm,
DLA,"Delta Apparel, Inc.",22.1,$152.27M,n/a,Consumer Non-Durables,Apparel,https://old.nasdaq.com/symbol/dla,
DNN,Denison Mine Corp,0.374,$253.45M,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/dnn,
DSS,"Document Security Systems, Inc.",5.6,$32.68M,n/a,Consumer Durables,Containers/Packaging,https://old.nasdaq.com/symbol/dss,
DPW,"DPW Holdings, Inc.",6.06,$100.1M,n/a,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/dpw,
DXF,Dunxin Financial Holdings Limited,1.45,$30.24M,n/a,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/dxf,
GRF,"Eagle Capital Growth Fund, Inc.",7.7004,$31.37M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/grf,
EVM,Eaton Vance California Municipal Bond Fund,11.66,$291.43M,2002,n/a,n/a,https://old.nasdaq.com/symbol/evm,
CEV,Eaton Vance California Municipal Income Trust,13.41,$95.66M,1999,n/a,n/a,https://old.nasdaq.com/symbol/cev,
EVV,Eaton Vance Limited Duration Income Fund,12.23,$1.42B,2003,n/a,n/a,https://old.nasdaq.com/symbol/evv,
EIM,Eaton Vance Municipal Bond Fund,13.2,$949.78M,2002,n/a,n/a,https://old.nasdaq.com/symbol/eim,
ENX,Eaton Vance New York Municipal Bond Fund,12.08,$218.87M,2002,n/a,n/a,https://old.nasdaq.com/symbol/enx,
EVY,Eaton Vance New York Municipal Income Trust,13.51,$72.98M,1999,n/a,n/a,https://old.nasdaq.com/symbol/evy,
ELMD,"Electromed, Inc.",9.87,$84.94M,2011,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,https://old.nasdaq.com/symbol/elmd,
ELLO,Ellomay Capital Ltd.,33.75,$427.01M,n/a,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/ello,
ECF,Ellsworth Growth and Income Fund Ltd.,12.51,$165.2M,1986,n/a,n/a,https://old.nasdaq.com/symbol/ecf,
ECF^A,Ellsworth Growth and Income Fund Ltd.,26.18,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ecf^a,
EMAN,eMagin Corporation,1.15,$77.62M,n/a,Technology,Semiconductors,https://old.nasdaq.com/symbol/eman,
MSN,Emerson Radio Corporation,1.11,$23.36M,n/a,Consumer Non-Durables,Consumer Electronics/Appliances,https://old.nasdaq.com/symbol/msn,
EMX,EMX Royalty Corporation,2.9354,$247.56M,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/emx,
UUUU,Energy Fuels Inc,2.01,$263.46M,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://old.nasdaq.com/symbol/uuuu,
UUUU.WS,Energy Fuels Inc,n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/uuuu.ws,
ENSV,ENSERVCO Corporation,1.9568,$10.06M,n/a,Energy,Oilfield Services/Equipment,https://old.nasdaq.com/symbol/ensv,
ELA,Envela Corporation,4.37,$117.66M,n/a,Consumer Services,Consumer Specialties,https://old.nasdaq.com/symbol/ela,
EQX,Equinox Gold Corp.,9.83,$2.38B,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/eqx,
ESP,Espey Mfg. & Electronics Corp.,19.131,$45.96M,n/a,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/esp,
EVBN,"Evans Bancorp, Inc.",27.62,$148.71M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/evbn,
EVI,"EVI Industries, Inc.",33.66,$401.72M,n/a,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/evi,
EPM,"Evolution Petroleum Corporation, Inc.",2.98,$98.2M,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/epm,
EXN,Excellon Resources Inc.,2.53,$81.13M,2020,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/exn,
FEN,First Trust Energy Income and Growth Fund,10.84,$217.03M,2004,n/a,n/a,https://old.nasdaq.com/symbol/fen,
BDL,"Flanigan&#39;s Enterprises, Inc.",17.11,$31.8M,n/a,Consumer Services,Restaurants,https://old.nasdaq.com/symbol/bdl,
FSI,Flexible Solutions International Inc.,2.5,$30.6M,n/a,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/fsi,
FTF,Franklin Limited Duration Income Trust,8.66,$261M,2003,n/a,n/a,https://old.nasdaq.com/symbol/ftf,
FSP,Franklin Street Properties Corp.,4.88,$523.76M,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/fsp,
FRD,Friedman Industries Inc.,6.24,$43.95M,n/a,Capital Goods,Steel/Iron Ore,https://old.nasdaq.com/symbol/frd,
FTSI,"FTS International, Inc.",19.08,$102.67M,2020,Energy,Oilfield Services/Equipment,https://old.nasdaq.com/symbol/ftsi,
FURY,Fury Gold Mines Limited,1.34,$157.88M,2020,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/fury,
GAU,Galiano Gold Inc.,1.13,$253.38M,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://old.nasdaq.com/symbol/gau,
GGN,"GAMCO Global Gold, Natural Reources & Income Trust ",3.41,$562.35M,2005,n/a,n/a,https://old.nasdaq.com/symbol/ggn,
GGN^B,"GAMCO Global Gold, Natural Reources & Income Trust ",25.39,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ggn^b,
JOB,GEE Group Inc.,1.08,$19.08M,n/a,Technology,Diversified Commercial Services,https://old.nasdaq.com/symbol/job,
GSAT,"Globalstar, Inc.",0.3149,$526.01M,2006,Consumer Services,Telecommunications Equipment,https://old.nasdaq.com/symbol/gsat,
GORO,Gold Resource Corporation,3.04,$218.47M,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/goro,
GSV,Gold Standard Ventures Corporation,0.665,$209.58M,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://old.nasdaq.com/symbol/gsv,
AUMN,Golden Minerals Company,0.553,$83.79M,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/aumn,
GSS,"Golden Star Resources, Ltd",3.81,$423.9M,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/gss,
GV,Goldfield Corporation (The),6.97,$170.92M,n/a,Basic Industries,Water Supply,https://old.nasdaq.com/symbol/gv,
GLDG,GoldMining Inc.,2.145,$316.66M,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/gldg,
GDP,Goodrich Petroleum Corporation,12.16,$153.89M,2017,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/gdp,
GTE,Gran Tierra Energy Inc.,0.3046,$111.78M,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/gte,
GPL,Great Panther Mining Limited,0.8272,$293.43M,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/gpl,
SIM,"Grupo Simec, S.A. de C.V.",9.3617,$1.45B,1993,Basic Industries,Steel/Iron Ore,https://old.nasdaq.com/symbol/sim,
AIM,"Hemispherx BioPharma, Inc.",1.84,$73.03M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/aim,
HLM^,Hillman Group Capital Trust,29.8,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/hlm^,
HMG,"HMG/Courtland Properties, Inc.",11.5114,$11.59M,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/hmg,
HUSA,Houston American Energy Corporation,1.695,$11.83M,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/husa,
HWM^,Howmet Aerospace Inc.,72.93,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/hwm^,
IBIO,"iBio, Inc.",1.51,$274.98M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/ibio,
IBO,IBO (Listing Market - NYSE Amex Network B F),24.84,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ibo,
IMH,"Impac Mortgage Holdings, Inc.",1.85,$39.28M,1997,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/imh,
